Store;Stocker
Supplies;Fournitures
Supply room;Réserves (de fournitures)
Survey;Sondage
Switchboard;Panneau, Clavier
Take on;Embaucher
Takeover bid;OPA
Task ;Tâche
Temp;Intérimaire
Trainee;Stagiaire
Training;Formation
Transfer;Mutation/muter
Trash;Ordures
Trend;Tendance
Trial order;Commande d’essai
Triplicate;En trois exemplaires
Turnover;Chiffre d’affaires
Type;Taper, dactylographier
Typing error;Faute de frappe
Update;Mettre à jour
Vacancy;Poste à pourvoir
Vacant;Libre, à pourvoir
Vacation;Vacances
Wage;Salaire
Word processing;Traitement de texte
Wrap;Emballer